"code","agent","agent_class"
"A","Animal damage","Animal"
"AB","Bear","Animal"
"AO","Cattle","Animal"
"AD","Deer","Animal"
"AP","Porcupine","Animal"
"N","Abiotic injury","Abiotic"
"NB","Fire","Abiotic"
"NBP","Post-burn mortality","Abiotic"
"NK","Fume kill","Abiotic"
"NF","Flooding","Abiotic"
"NGK","Frost","Abiotic"
"NL","Lightning","Abiotic"
"NR","Red belt","Abiotic"
"NW","Windthrow","Abiotic"
"NWT","Windthrow, harvest related","Abiotic"
"NS","Slide","Abiotic"
"ND","Drought","Abiotic"
"NDF","Drought, foliage loss","Abiotic"
"NDM","Drought, mortality","Abiotic"
"NDW","Drought, heat and woodborer","Abiotic"
"NCY","Yellow cedar decline","Abiotic"
"NY","Abiotic, code absent from standards","Abiotic"
"TM","Other mechanical damage","Abiotic"
"D","Disease, group not specified","Disease"
"DF","Foliage diseases, group","Disease"
"DFH","Larch needle cast","Disease"
"DFL","Pine needle cast","Disease"
"DFW","Foliage disease, code absent from standards","Disease"
"DM","Dwarf mistletoes, group","Disease"
"DMP","Lodgepole pine dwarf mistletoe","Disease"
"DR","Root diseases, group","Disease"
"DRA","Armillaria root disease","Disease"
"DRL","Laminated root rot","Disease"
"DS","Stem diseases, group","Disease"
"DSB","White pine blister rust","Disease"
"DSC","Comandra blister rust","Disease"
"DLV","Aspen-poplar twig blight","Disease"
"IA","Aphids and adelgids, group","Sap feeder"
"IAB","Balsam woolly adelgid","Sap feeder"
"IAS","Spruce aphid","Sap feeder"
"IB","Bark beetles, group","Bark beetle"
"IBB","Western balsam bark beetle","Bark beetle"
"IBD","Douglas-fir beetle","Bark beetle"
"IBM","Mountain pine beetle","Bark beetle"
"IBS","Spruce beetle","Bark beetle"
"IBI","Engraver (Ips) beetle","Bark beetle"
"IBW","Western pine beetle","Bark beetle"
"ID","Defoliators, group","Defoliator"
"IDB","Two-year budworm","Defoliator"
"IDC","Larch casebearer","Defoliator"
"IDD","Western winter moth","Defoliator"
"IDE","Eastern spruce budworm","Defoliator"
"IDF","Forest tent caterpillar","Defoliator"
"IDG","Green-striped forest looper","Defoliator"
"IDH","Western blackheaded budworm","Defoliator"
"IDI","Pine needle sheath miner","Defoliator"
"IDK","Northern tent caterpillar","Defoliator"
"IDL","Western hemlock looper","Defoliator"
"IDN","Birch leaf miner","Defoliator"
"IDP","Larch sawfly","Defoliator"
"IDR","Alder sawfly","Defoliator"
"IDS","Conifer sawfly","Defoliator"
"IDT","Douglas-fir tussock moth","Defoliator"
"IDU","Satin moth","Defoliator"
"IDW","Western spruce budworm","Defoliator"
"IDX","Large aspen tortrix","Defoliator"
"IDZ","Western false hemlock looper","Defoliator"
"ID6","Aspen leaf miner","Defoliator"
"ID9","Birch leaf skeletonizer","Defoliator"
