"cell","lon","lat","iab_n","ibb_n","iab_ba","ibb_ba","iab_best_sev","iab_mod_plus","iab_ha","yrs","med_offset","viable"
121,-127.727,50.549,15,4,15,4,"T",0,405,"2016-2024",1,TRUE
131,-124.197,50.548,2,1,2,1,"L",0,27,"2017-2021",1,TRUE
108,-127.016,50.333,1,1,1,1,"T",0,6,"2016-2019",1.5,TRUE
111,-125.962,50.338,12,0,12,0,"L",0,586,"2019-2020",0,FALSE
50,-126.307,49.438,0,7,0,7,NA,0,0,"2016-2017",2,FALSE
161,-124.179,50.997,0,29,0,7,NA,0,0,"2017-2021",2,FALSE
9,-124.945,48.758,0,6,0,6,NA,0,0,"2016-2025",2,FALSE
146,-124.188,50.773,0,6,0,6,NA,0,0,"2019-2019",1,FALSE
52,-125.618,49.438,0,6,0,5,NA,0,0,"2016-2019",1.5,FALSE
10,-124.605,48.755,0,4,0,4,NA,0,0,"2016-2025",2.5,FALSE
124,-126.668,50.561,4,0,4,0,"T",0,84,"2019-2019",0,FALSE
106,-127.718,50.325,3,0,3,0,"T",0,39,"2019-2020",1,FALSE
116,-124.206,50.324,0,3,0,3,NA,0,0,"2017-2021",3,FALSE
65,-126.309,49.663,0,2,0,2,NA,0,0,"2016-2016",3,FALSE
96,-125.962,50.113,2,0,2,0,"T",0,325,"2020-2020",1,FALSE
112,-125.611,50.337,0,2,0,2,NA,0,0,"2025-2025",1,FALSE
24,-124.94,48.984,0,1,0,1,NA,0,0,"2024-2024",1,FALSE
36,-125.963,49.214,0,1,0,1,NA,0,0,"2018-2018",1,FALSE
38,-125.277,49.211,1,0,1,0,"L",0,103,"2021-2021",2,FALSE
51,-125.963,49.439,0,1,0,1,NA,0,0,"2018-2018",1,FALSE
102,-123.865,50.093,0,2,0,1,NA,0,0,"2018-2018",2,FALSE
132,-123.844,50.542,0,19,0,1,NA,0,0,"2017-2023",3,FALSE
28,-123.576,48.961,0,1,0,0,NA,0,0,"2017-2017",2,FALSE
37,-125.62,49.213,0,1,0,0,NA,0,0,"2016-2016",3,FALSE
117,-123.855,50.317,0,5,0,0,NA,0,0,"2018-2018",2,FALSE
134,-123.139,50.526,0,9,0,0,NA,0,0,"2018-2022",3,FALSE
135,-122.787,50.516,0,1,0,0,NA,0,0,"2019-2019",3,FALSE
145,-124.542,50.778,0,1,0,0,NA,0,0,"2019-2019",1,FALSE
147,-123.833,50.766,0,1,0,0,NA,0,0,"2019-2019",1,FALSE
148,-123.479,50.759,0,45,0,0,NA,0,0,"2014-2020",2,FALSE
149,-123.125,50.75,0,130,0,0,NA,0,0,"2014-2022",2,FALSE
160,-124.535,51.002,0,9,0,0,NA,0,0,"2017-2019",2,FALSE
