"capture_year","severity","area_ha","lidar_tiles","lidar_years","nearest_lidar_year","year_offset","km_from_comox","lon","lat"
2022,"T",18.6,0,NA,NA,NA,53,-125.65881,49.62854
2020,"T",155.8,0,NA,NA,NA,54.9,-125.67642,49.76112
2020,"T",138.4,0,NA,NA,NA,55.3,-125.66721,49.80422
2020,"T",241.4,0,NA,NA,NA,56.7,-125.71275,49.67739
2020,"T",119.6,0,NA,NA,NA,56.9,-125.71332,49.7193
2015,"T",30.4,0,NA,NA,NA,58.5,-124.57162,49.20116
2020,"T",97.2,0,NA,NA,NA,58.8,-125.73924,49.71978
2021,"L",102.5,4,"2019",2019,2,60.2,-125.17453,49.15547
2020,"T",518.9,0,NA,NA,NA,63.6,-125.78753,49.80123
2023,"T",22.1,0,NA,NA,NA,67,-125.70103,49.34176
2020,"T",35.2,2,"2025",2025,5,71.8,-125.71081,50.07381
2020,"T",31.6,1,"2024",2024,4,74.3,-125.68221,50.13055
2020,"T",303.3,0,NA,NA,NA,75.6,-125.88725,49.94944
2019,"T",53.8,0,NA,NA,NA,76.2,-124.4869,50.29604
2021,"T",14.5,0,NA,NA,NA,77,-124.46882,50.29834
2019,"T",18.4,0,NA,NA,NA,79.7,-124.48177,50.32933
2021,"T",20.4,0,NA,NA,NA,79.7,-124.46824,50.32556
2020,"T",167.8,1,"2025",2025,5,80,-125.7982,50.1211
2019,"T",54.3,1,"2024",2024,5,80.1,-125.3615,50.33692
2020,"T",27.4,2,"2024",2024,4,80.3,-125.76529,50.15075
2021,"T",117,0,NA,NA,NA,82.2,-125.95904,49.99055
2020,"T",210.3,0,NA,NA,NA,82.6,-125.85453,50.11274
2021,"T",20.3,0,NA,NA,NA,82.9,-124.82191,50.41518
2021,"T",14.4,0,NA,NA,NA,83.5,-124.82098,50.42018
2020,"T",377.7,2,"2025",2025,5,83.6,-125.81776,50.15808
2024,"T",22.3,2,"2019",2019,5,83.8,-126.0485,49.48271
2021,"M",18.7,0,NA,NA,NA,85.1,-124.82901,50.43573
2019,"T",20.1,0,NA,NA,NA,87.7,-124.41608,50.38965
2024,"T",51.6,2,"2019",2019,5,87.9,-126.11038,49.4903
2020,"T",676.5,0,NA,NA,NA,88.4,-125.97301,50.09176
2019,"L",17.3,0,NA,NA,NA,88.6,-124.8226,50.4665
2020,"T",211.6,5,"2019;2025",2019,1,89.1,-125.84277,50.21478
2020,"T",460.2,0,NA,NA,NA,90.2,-125.94682,50.1467
2019,"M",21.3,0,NA,NA,NA,90.6,-125.19178,50.46916
2020,"T",77.4,6,"2019;2024;2025",2019,1,91.3,-125.85577,50.23531
2020,"T",113.4,4,"2019;2025",2019,1,91.7,-125.87199,50.22881
2020,"T",215.4,0,NA,NA,NA,92,-125.99452,50.13012
2020,"T",112.6,2,"2019",2019,1,94.9,-125.91771,50.23834
2019,"L",20.4,3,"2024",2024,5,97,-125.65033,50.41088
2019,"L",35.3,2,"2024",2024,5,97.1,-125.63196,50.41896
2020,"L",9.4,1,"2019",2019,1,97.4,-125.95347,50.24716
2019,"T",11.3,0,NA,NA,NA,98.9,-125.12329,50.55325
2022,"S",21.8,0,NA,NA,NA,102.6,-124.47234,50.54742
2019,"T",12.9,2,"2019",2019,0,103,-125.87404,50.3707
2021,"L",10.4,0,NA,NA,NA,103,-124.50812,50.55835
2019,"L",36.5,2,"2019",2019,0,103.1,-125.86726,50.3755
2021,"S",19.1,0,NA,NA,NA,103.6,-125.16849,50.59095
2019,"L",39,1,"2019",2019,0,104.2,-125.88397,50.37858
2021,"L",5,0,NA,NA,NA,105.3,-124.46843,50.57271
2021,"L",3.5,0,NA,NA,NA,105.7,-124.46486,50.57552
2019,"T",17,0,NA,NA,NA,107.2,-125.25347,50.61347
2015,"T",22.9,0,NA,NA,NA,107.7,-124.99903,50.64034
2021,"L",10.6,0,NA,NA,NA,109,-124.48486,50.61016
2021,"L",20.1,0,NA,NA,NA,109.2,-124.52173,50.61895
2021,"L",6.8,0,NA,NA,NA,109.3,-124.5018,50.61657
2021,"L",10.6,0,NA,NA,NA,109.3,-124.50958,50.61811
2021,"L",5,0,NA,NA,NA,109.5,-124.50751,50.61952
2021,"L",14.2,0,NA,NA,NA,110.2,-124.46271,50.61772
2021,"L",7.8,0,NA,NA,NA,110.4,-123.703,50.27368
2021,"L",9.7,0,NA,NA,NA,110.4,-123.70973,50.27901
2021,"L",6.4,0,NA,NA,NA,110.5,-124.45878,50.6195
2021,"L",10.5,0,NA,NA,NA,110.5,-123.69552,50.2695
2019,"T",36.8,0,NA,NA,NA,110.6,-125.58182,50.57357
2021,"L",8,1,"2020",2020,1,111,-124.3024,50.58654
2018,"L",34.6,0,NA,NA,NA,114.9,-126.44378,49.99736
2019,"T",34.1,2,"2019",2019,0,115.6,-126.05246,50.4185
2019,"T",20.5,2,"2019",2019,0,117.5,-126.06293,50.43578
2021,"M",4.3,0,NA,NA,NA,117.7,-125.61955,50.63314
2019,"T",96.5,3,"2019",2019,0,117.9,-126.08556,50.42705
2019,"T",9.4,2,"2019",2019,0,118.3,-126.07322,50.43919
2021,"T",6.3,0,NA,NA,NA,118.7,-125.62789,50.64071
2019,"T",24.5,1,"2019",2019,0,119.4,-126.0891,50.44359
2021,"L",4.7,0,NA,NA,NA,119.4,-125.49681,50.68191
2021,"L",19.5,1,"2020",2020,1,120.2,-124.1609,50.6343
2021,"L",5.1,0,NA,NA,NA,120.2,-123.71113,50.4178
2019,"T",16.4,0,NA,NA,NA,129.5,-125.24668,50.81904
2019,"T",4.8,0,NA,NA,NA,129.8,-125.25905,50.82045
2020,"T",1.6,0,NA,NA,NA,130.7,-123.13354,49.53501
2021,"L",8.1,0,NA,NA,NA,130.7,-123.35159,50.26194
2020,"T",7.3,0,NA,NA,NA,131.3,-123.12423,49.53724
2021,"T",18.7,0,NA,NA,NA,131.9,-125.4183,50.81605
2020,"T",1.9,0,NA,NA,NA,132.5,-123.1067,49.5405
2020,"T",282.8,0,NA,NA,NA,133.1,-126.46442,50.3455
2021,"T",4.1,0,NA,NA,NA,134.2,-125.4355,50.83414
2021,"T",11.2,0,NA,NA,NA,134.8,-125.43506,50.84029
2022,"S",11.1,0,NA,NA,NA,134.8,-125.44274,50.83918
2022,"L",5.8,0,NA,NA,NA,135.3,-125.43474,50.84512
2021,"L",43.6,0,NA,NA,NA,135.4,-125.37471,50.85565
2021,"T",3.8,0,NA,NA,NA,135.4,-125.43093,50.84659
2021,"T",19.6,0,NA,NA,NA,135.5,-125.36053,50.85892
2022,"S",11.5,0,NA,NA,NA,135.6,-125.37864,50.85741
2020,"T",3.5,0,NA,NA,NA,135.7,-123.06625,49.51957
2021,"T",10.3,0,NA,NA,NA,135.7,-125.39988,50.85496
2022,"S",11.3,0,NA,NA,NA,135.7,-125.39236,50.85559
2022,"S",8.3,0,NA,NA,NA,135.9,-125.40663,50.85516
2022,"L",7.2,0,NA,NA,NA,135.9,-125.43403,50.85046
2020,"T",3,0,NA,NA,NA,136.2,-123.06333,49.50605
2023,"L",6.5,0,NA,NA,NA,136.4,-125.44039,50.8539
2020,"T",5.4,0,NA,NA,NA,136.5,-123.05732,49.51444
2020,"T",5.2,0,NA,NA,NA,136.8,-123.05547,49.49857
2019,"T",5.8,0,NA,NA,NA,136.8,-126.5412,50.33027
2020,"T",1.2,0,NA,NA,NA,138.2,-123.04612,49.46032
2020,"T",2.1,0,NA,NA,NA,138.7,-123.04072,49.45824
2019,"T",30.1,0,NA,NA,NA,140.3,-126.6946,50.21169
2015,"T",58.7,0,NA,NA,NA,140.8,-125.46576,50.89092
2016,"T",58.7,0,NA,NA,NA,140.8,-125.46576,50.89092
2015,"T",25.6,0,NA,NA,NA,140.9,-125.47562,50.88933
2016,"T",25.6,0,NA,NA,NA,140.9,-125.47562,50.88933
2015,"T",4.7,0,NA,NA,NA,141.5,-125.44355,50.901
2019,"T",40,0,NA,NA,NA,142.2,-125.38247,50.91766
2021,"L",23.8,0,NA,NA,NA,142.8,-126.56442,50.40556
2015,"T",87.9,0,NA,NA,NA,145.2,-125.78108,50.85789
2019,"T",28.8,2,"2019",2019,0,146.2,-126.55309,50.46924
2019,"T",20.2,1,"2019",2019,0,147.6,-126.56514,50.47996
2021,"L",17.5,0,NA,NA,NA,148.7,-125.6764,50.9206
2021,"T",23.9,0,NA,NA,NA,149.5,-125.70384,50.92158
2022,"M",23.8,0,NA,NA,NA,149.5,-125.7081,50.92021
2021,"T",41.2,0,NA,NA,NA,152.2,-125.71365,50.94463
2021,"T",17.8,0,NA,NA,NA,152.4,-125.72079,50.94562
2017,"L",23.5,0,NA,NA,NA,152.7,-125.71674,50.9494
2021,"T",25.4,0,NA,NA,NA,153.6,-125.73231,50.95433
2019,"T",19.6,2,"2019",2019,0,159.5,-126.73521,50.51316
2019,"T",15.1,1,"2019",2019,0,161.5,-126.7633,50.51851
2019,"T",5.7,1,"2019",2019,0,163.6,-126.95859,50.34448
2021,"T",26.5,0,NA,NA,NA,164.3,-125.93317,51.00265
2019,"T",6.2,0,NA,NA,NA,166.1,-127.10672,50.17429
2019,"T",27.6,0,NA,NA,NA,166.4,-127.16633,50.05367
2019,"T",11.4,0,NA,NA,NA,167.1,-127.1141,50.18826
2019,"T",9.9,0,NA,NA,NA,167.6,-127.1236,50.18433
2019,"T",57.4,0,NA,NA,NA,168.6,-127.15729,50.1459
2019,"T",77.5,0,NA,NA,NA,168.7,-127.14064,50.18438
2019,"T",108.4,0,NA,NA,NA,170.7,-127.18424,50.15416
2022,"T",3.9,0,NA,NA,NA,171.3,-127.18888,50.16272
2019,"T",43.4,0,NA,NA,NA,171.8,-127.1888,50.17796
2020,"T",57.9,0,NA,NA,NA,172.7,-127.17501,50.22965
2021,"T",20,0,NA,NA,NA,184.4,-127.24214,50.3983
2019,"T",12.8,0,NA,NA,NA,187.3,-127.40312,50.20483
2019,"T",12.7,0,NA,NA,NA,188.6,-127.41042,50.22949
2019,"T",42.7,0,NA,NA,NA,189.7,-127.42273,50.23825
2019,"T",50.1,0,NA,NA,NA,192.5,-127.45475,50.25533
2020,"T",7.2,0,NA,NA,NA,193.2,-127.48328,50.21924
2015,"L",10.3,0,NA,NA,NA,194.4,-127.52071,50.17751
2020,"T",13.8,0,NA,NA,NA,194.7,-127.50135,50.22718
2015,"L",18.6,0,NA,NA,NA,194.9,-127.52562,50.1812
2020,"T",17.8,0,NA,NA,NA,195.3,-127.50989,50.22759
2019,"T",33,0,NA,NA,NA,196.4,-127.55448,50.16335
2019,"T",26.7,0,NA,NA,NA,197,-127.56346,50.16495
2020,"T",79,0,NA,NA,NA,197.5,-127.55162,50.20838
2020,"T",48.1,0,NA,NA,NA,197.6,-127.5237,50.26692
2019,"T",100.2,0,NA,NA,NA,199.2,-127.58171,50.19642
2020,"T",36.6,0,NA,NA,NA,201.5,-127.59587,50.23835
2020,"T",46.4,0,NA,NA,NA,206.3,-127.65737,50.25779
2019,"T",17.6,0,NA,NA,NA,209.9,-127.7158,50.24564
2020,"T",7.1,1,"2019",2019,1,217.6,-127.73993,50.4146
2019,"T",26.9,0,NA,NA,NA,219.7,-127.81992,50.32711
2019,"T",22.5,2,"2019",2019,0,219.8,-127.63657,50.60992
2020,"T",15.6,2,"2019",2019,1,220.2,-127.6402,50.61203
2020,"T",7.1,1,"2019",2019,1,221.9,-127.79373,50.43112
2019,"T",13.1,3,"2019;2023",2019,0,222.5,-127.70801,50.57236
2020,"T",48.9,3,"2019;2023",2019,1,222.6,-127.70602,50.57677
2019,"T",7.6,3,"2019;2023",2019,0,222.8,-127.72647,50.55421
2019,"T",33.4,3,"2019;2023",2019,0,224.4,-127.74189,50.56675
2021,"T",55.4,5,"2019;2023",2019,2,224.5,-127.7424,50.56875
2020,"T",82.6,6,"2019;2023",2019,1,224.8,-127.74349,50.57243
2019,"T",7.6,2,"2023",2023,4,225,-127.76234,50.55011
2019,"T",9.8,1,"2023",2023,4,225.1,-127.7585,50.55957
2020,"T",11.6,2,"2019",2019,1,225.7,-127.84706,50.43926
2020,"T",6.3,1,"2019",2019,1,226.4,-127.855,50.44277
2019,"T",18.3,2,"2019",2019,0,227.4,-127.8665,50.44821
2021,"T",17,2,"2019;2023",2019,2,227.8,-127.78319,50.58221
2019,"T",24.8,1,"2019",2019,0,228.4,-127.89331,50.42857
2019,"T",39.7,4,"2019;2023",2019,0,229.7,-127.83145,50.55625
2019,"T",15.7,2,"2019;2023",2019,0,231.2,-127.87068,50.53381
2019,"T",17.6,3,"2019;2023",2019,0,234.1,-127.89327,50.56586
2019,"T",10.6,1,"2023",2023,4,235.5,-127.74154,50.78089
2019,"T",62.1,4,"2023",2023,4,237.5,-127.76541,50.78992
