"poly_id","maptile","year","density","projection","filename","s3Url"
"P001","092l041_4_4_3",2019,8,"utm10","bc_092l041_4_4_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l041_4_4_3_xyes_8_utm10_2019.laz"
"P001","092l041_4_4_4",2019,8,"utm10","bc_092l041_4_4_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l041_4_4_4_xyes_8_utm10_2019.laz"
"P001","092l051_2_2_1",2019,8,"utm10","bc_092l051_2_2_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l051_2_2_1_xyes_8_utm10_2019.laz"
"P001","092l051_2_2_2",2019,8,"utm10","bc_092l051_2_2_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l051_2_2_2_xyes_8_utm10_2019.laz"
"P002","092c076_4_1_2",2019,8,"utm10","bc_092c076_4_1_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2019/pointcloud/bc_092c076_4_1_2_xyes_8_utm10_2019.laz"
"P002","092c076_4_1_4",2019,8,"utm10","bc_092c076_4_1_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2019/pointcloud/bc_092c076_4_1_4_xyes_8_utm10_2019.laz"
"P002","092c076_4_2_1",2019,8,"utm10","bc_092c076_4_2_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2019/pointcloud/bc_092c076_4_2_1_xyes_8_utm10_2019.laz"
"P002","092c076_4_2_3",2019,8,"utm10","bc_092c076_4_2_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2019/pointcloud/bc_092c076_4_2_3_xyes_8_utm10_2019.laz"
"P003","092c076_3_4_3",2019,8,"utm10","bc_092c076_3_4_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2019/pointcloud/bc_092c076_3_4_3_xyes_8_utm10_2019.laz"
"P004","092c076_3_3_4",2019,8,"utm10","bc_092c076_3_3_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2019/pointcloud/bc_092c076_3_3_4_xyes_8_utm10_2019.laz"
"P005","092f032_4_3_2",2019,8,"utm10","bc_092f032_4_3_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f032_4_3_2_xyes_8_utm10_2019.laz"
"P005","092f032_4_4_1",2019,8,"utm10","bc_092f032_4_4_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f032_4_4_1_xyes_8_utm10_2019.laz"
"P006","092f032_3_4_2",2019,8,"utm10","bc_092f032_3_4_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f032_3_4_2_xyes_8_utm10_2019.laz"
"P006","092f032_4_3_1",2019,8,"utm10","bc_092f032_4_3_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f032_4_3_1_xyes_8_utm10_2019.laz"
"P007","092e049_2_1_3",2019,8,"utm10","bc_092e049_2_1_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e049_2_1_3_xyes_8_utm10_2019.laz"
"P007","092e049_2_1_4",2019,8,"utm10","bc_092e049_2_1_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e049_2_1_4_xyes_8_utm10_2019.laz"
"P007","092e049_2_3_1",2019,8,"utm10","bc_092e049_2_3_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e049_2_3_1_xyes_8_utm10_2019.laz"
"P007","092e049_2_3_2",2019,8,"utm10","bc_092e049_2_3_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e049_2_3_2_xyes_8_utm10_2019.laz"
"P008","092e049_2_3_1",2019,8,"utm10","bc_092e049_2_3_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e049_2_3_1_xyes_8_utm10_2019.laz"
"P008","092e049_2_3_3",2019,8,"utm10","bc_092e049_2_3_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e049_2_3_3_xyes_8_utm10_2019.laz"
"P008","092e049_2_3_4",2019,8,"utm10","bc_092e049_2_3_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e049_2_3_4_xyes_8_utm10_2019.laz"
"P009","092e049_4_1_1",2019,8,"utm10","bc_092e049_4_1_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e049_4_1_1_xyes_8_utm10_2019.laz"
"P009","092e049_4_1_3",2019,8,"utm10","bc_092e049_4_1_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e049_4_1_3_xyes_8_utm10_2019.laz"
"P010","092e048_4_4_4",2019,8,"utm10","bc_092e048_4_4_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e048_4_4_4_xyes_8_utm10_2019.laz"
"P011","092e059_1_2_1",2019,8,"utm10","bc_092e059_1_2_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e059_1_2_1_xyes_8_utm10_2019.laz"
"P011","092e059_1_2_3",2019,8,"utm10","bc_092e059_1_2_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e059_1_2_3_xyes_8_utm10_2019.laz"
"P012","092l041_4_2_3",2019,8,"utm10","bc_092l041_4_2_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l041_4_2_3_xyes_8_utm10_2019.laz"
"P013","092e059_1_4_4",2019,8,"utm10","bc_092e059_1_4_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e059_1_4_4_xyes_8_utm10_2019.laz"
"P013","092e059_3_2_1",2019,8,"utm10","bc_092e059_3_2_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e059_3_2_1_xyes_8_utm10_2019.laz"
"P013","092e059_3_2_2",2019,8,"utm10","bc_092e059_3_2_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e059_3_2_2_xyes_8_utm10_2019.laz"
"P014","092e059_1_4_4",2019,8,"utm10","bc_092e059_1_4_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092e/2019/pointcloud/bc_092e059_1_4_4_xyes_8_utm10_2019.laz"
