"maptile","year","density","projection","filename","bytes","density_actual"
"092l041_4_4_3",2019,8,"utm10","bc_092l041_4_4_3_xyes_8_utm10_2019.laz",313808544,21.4
"092l041_4_4_4",2019,8,"utm10","bc_092l041_4_4_4_xyes_8_utm10_2019.laz",360716560,24.7
"092l051_2_2_1",2019,8,"utm10","bc_092l051_2_2_1_xyes_8_utm10_2019.laz",609073651,44.1
"092l051_2_2_2",2019,8,"utm10","bc_092l051_2_2_2_xyes_8_utm10_2019.laz",716773310,51.1
"092c076_4_1_2",2019,8,"utm10","bc_092c076_4_1_2_xyes_8_utm10_2019.laz",45656658,8
"092c076_4_1_4",2019,8,"utm10","bc_092c076_4_1_4_xyes_8_utm10_2019.laz",64219900,10.6
"092c076_4_2_1",2019,8,"utm10","bc_092c076_4_2_1_xyes_8_utm10_2019.laz",646461145,44.5
"092c076_4_2_3",2019,8,"utm10","bc_092c076_4_2_3_xyes_8_utm10_2019.laz",52358354,13.6
"092c076_3_4_3",2019,8,"utm10","bc_092c076_3_4_3_xyes_8_utm10_2019.laz",26506213,4.1
"092c076_3_3_4",2019,8,"utm10","bc_092c076_3_3_4_xyes_8_utm10_2019.laz",61978,3.7
"092f032_4_3_2",2019,8,"utm10","bc_092f032_4_3_2_xyes_8_utm10_2019.laz",573111258,39.6
"092f032_4_4_1",2019,8,"utm10","bc_092f032_4_4_1_xyes_8_utm10_2019.laz",147687114,15
"092f032_3_4_2",2019,8,"utm10","bc_092f032_3_4_2_xyes_8_utm10_2019.laz",586919695,40.4
"092f032_4_3_1",2019,8,"utm10","bc_092f032_4_3_1_xyes_8_utm10_2019.laz",612177533,42.3
"092e049_2_1_3",2019,8,"utm10","bc_092e049_2_1_3_xyes_8_utm10_2019.laz",763123015,51
"092e049_2_1_4",2019,8,"utm10","bc_092e049_2_1_4_xyes_8_utm10_2019.laz",882052036,58
"092e049_2_3_1",2019,8,"utm10","bc_092e049_2_3_1_xyes_8_utm10_2019.laz",669627573,44.6
"092e049_2_3_2",2019,8,"utm10","bc_092e049_2_3_2_xyes_8_utm10_2019.laz",648570365,43.2
"092e049_2_3_3",2019,8,"utm10","bc_092e049_2_3_3_xyes_8_utm10_2019.laz",282518894,19.1
"092e049_2_3_4",2019,8,"utm10","bc_092e049_2_3_4_xyes_8_utm10_2019.laz",384238511,25.4
"092e049_4_1_1",2019,8,"utm10","bc_092e049_4_1_1_xyes_8_utm10_2019.laz",452128841,29.9
"092e049_4_1_3",2019,8,"utm10","bc_092e049_4_1_3_xyes_8_utm10_2019.laz",639249152,42.6
"092e048_4_4_4",2019,8,"utm10","bc_092e048_4_4_4_xyes_8_utm10_2019.laz",783832921,56.6
"092e059_1_2_1",2019,8,"utm10","bc_092e059_1_2_1_xyes_8_utm10_2019.laz",547862630,39.1
"092e059_1_2_3",2019,8,"utm10","bc_092e059_1_2_3_xyes_8_utm10_2019.laz",312013809,24
"092l041_4_2_3",2019,8,"utm10","bc_092l041_4_2_3_xyes_8_utm10_2019.laz",247496891,17.1
"092e059_1_4_4",2019,8,"utm10","bc_092e059_1_4_4_xyes_8_utm10_2019.laz",666619909,45
"092e059_3_2_1",2019,8,"utm10","bc_092e059_3_2_1_xyes_8_utm10_2019.laz",146474824,18.4
