"poly_id","B2_mean","B2_stdDev","B2_count","B3_mean","B3_stdDev","B3_count","B4_mean","B4_stdDev","B4_count","B5_mean","B5_stdDev","B5_count","B6_mean","B6_stdDev","B6_count","B7_mean","B7_stdDev","B7_count","B8_mean","B8_stdDev","B8_count","B8A_mean","B8A_stdDev","B8A_count","B11_mean","B11_stdDev","B11_count","B12_mean","B12_stdDev","B12_count","NDVI_mean","NDVI_stdDev","NDVI_count","NDMI_mean","NDMI_stdDev","NDMI_count","NBR_mean","NBR_stdDev","NBR_count","NDRE1_mean","NDRE1_stdDev","NDRE1_count","GNDVI_mean","GNDVI_stdDev","GNDVI_count","MSI_mean","MSI_stdDev","MSI_count","SWIRR_mean","SWIRR_stdDev","SWIRR_count","EVI_mean","EVI_stdDev","EVI_count"
"P001",0.0151900436556636,0.00349030028265762,2859,0.0320281597821113,0.00629258195105905,2859,0.01533633122375,0.00407496048564527,2859,0.0572814528054826,0.0108416182900584,2859,0.186941030961936,0.0384596073437673,2859,0.225765357880768,0.0468557390462582,2859,0.241409577161682,0.0545151670359516,2859,0.247994763534981,0.0509793059656592,2859,0.0735051069830609,0.0118788166864811,2859,0.029763755206846,0.00540749464308714,2859,0.87381635243454,0.0746915086538305,2859,0.52298032007691,0.0794960906840149,2859,0.771972873200607,0.0710617244235682,2859,0.608988271539436,0.0699452038611699,2859,0.758388500622342,0.0841828183030365,2859,0.318016230846684,0.103336245020801,2859,2.47756883239746,0.159479684796079,2859,0.459486010893512,0.0917766982599997,2859
"P002",0.0291426626501642,0.0107246547748768,2750,0.0465160431779031,0.0157443703800744,2750,0.0287464441790466,0.017718287112569,2750,0.0778253198065602,0.0246509906366402,2750,0.211717789987511,0.0461631225170215,2750,0.251165431649859,0.0525965519516294,2750,0.265047474428764,0.0672877022163528,2750,0.275593575739155,0.0572617580618907,2750,0.112789797091311,0.0384413310679822,2750,0.0539797705525485,0.0250933992805527,2750,0.80915130531816,0.0627517847680198,2750,0.400719294627049,0.0914409242328553,2750,0.661256622194355,0.0810329992975711,2750,0.545128148401394,0.0651510308570101,2750,0.703996714586697,0.0400314527541567,2750,0.434552227237571,0.112402532834879,2750,2.12555241404388,0.131589254434581,2750,0.480642857900673,0.0973265965907288,2750
"P003",0.020140646113389,0.00800394007281197,680,0.0343412892192254,0.0122833509178093,680,0.0213648591600216,0.0122939153610344,680,0.0597689904492302,0.0192152407033474,680,0.18022541728951,0.0454508481466528,680,0.217976761297197,0.0542582853047273,680,0.234443040567708,0.0668333482040755,680,0.242448553662896,0.0591592418956342,680,0.0987500847110111,0.0339795287840335,680,0.0447718545269382,0.020457642531694,680,0.83427313444659,0.0647283368301692,680,0.403339425606669,0.105655188574599,680,0.677419632099153,0.0925178336587985,680,0.59081641735148,0.0684386298347978,680,0.745160962657019,0.0478272968002833,680,0.433944669727383,0.126767387056804,680,2.25578420129995,0.156628214907117,680,0.434708722720912,0.103094931140729,680
"P004",0.0154930017190666,0.00527717128651437,2561,0.0293060194004404,0.00911978632203261,2561,0.0159341843653264,0.00505662625590702,2561,0.0515845864866688,0.0119116836489545,2561,0.173187634546911,0.03415550957457,2561,0.209473426783289,0.0403723031966984,2561,0.225330565790318,0.0524746576945877,2561,0.228754947513891,0.0423038601282645,2561,0.0757792369844362,0.01594912992815,2561,0.0311541012556859,0.00733878434622027,2561,0.868320235678779,0.0228423538411561,2561,0.491345238281894,0.0703981269657995,2561,0.753503116266443,0.0444252615474016,2561,0.625042373555088,0.0434336074753578,2561,0.771627384873102,0.0285496056523315,2561,0.344204665890665,0.0671981908778956,2561,2.44574987680327,0.112267067908499,2561,0.431345331213978,0.0817130120062246,2561
"P005",0.0192859787048148,0.00607590419510454,5662,0.0320221863498918,0.0094694261539898,5662,0.0188519485727996,0.00582411579680028,5662,0.054066000906523,0.0132165178575662,5662,0.150407065772905,0.0321931203140331,5662,0.178655498427654,0.0371081609290538,5662,0.192210924955696,0.0442621394844171,5662,0.200370227471372,0.0403619255943974,5662,0.0782668280020655,0.0136624763809474,5662,0.0344969959078912,0.00752472671528304,5662,0.819251181567272,0.0490123696206705,5662,0.413313934276829,0.0673438807053833,5662,0.690310340611985,0.0550081813264359,5662,0.55870089380099,0.055913512011326,5662,0.714457884220419,0.0495738425182369,5662,0.418749690914055,0.0801869637642498,5662,2.28404167684053,0.12126955616123,5662,0.371083702906609,0.0775081034820749,5662
"P006",0.027342021619035,0.0300029698999086,1341,0.0398836714932012,0.0319184512058015,1341,0.0292765437041041,0.0334647395526315,1341,0.0598550924557469,0.0273953543782908,1341,0.15399712577325,0.0333833703710396,1341,0.186139429093058,0.040277603718619,1341,0.198350360977077,0.0537199763121842,1341,0.2072993079996,0.0452067843409332,1341,0.0979826462787431,0.0300525224273593,1341,0.0488382702864829,0.0274383661593313,1341,0.748111222906864,0.239063561446742,1341,0.33031812508698,0.151377776423716,1341,0.601896281819229,0.182490667304209,1341,0.530650352478104,0.185040172780808,1341,0.667523220281323,0.225311487642822,1341,0.532599572626267,0.255874149020195,1341,2.15986825551605,0.316130074407303,1341,0.354602453800375,0.130030628374859,1341
"P007",0.0159269103658433,0.00774449504582394,599,0.0295849149715075,0.0112065290695982,599,0.0156658092441486,0.00918196135342426,599,0.0509010591201214,0.0146186929094874,599,0.162587026657453,0.0315898758106363,599,0.194906937960593,0.0356646093239838,599,0.208770436151806,0.0458981807340332,599,0.213848347187695,0.0376245478064932,599,0.0757843584590576,0.0163412772200594,599,0.0336367251764132,0.0110340446163309,599,0.862447256661872,0.0479825363244764,599,0.462625643767343,0.0694138971854696,599,0.720397724985424,0.0582589187664829,599,0.607369336636964,0.0574113291174239,599,0.754240099386035,0.0447012292860207,599,0.370459846182764,0.0707084236177817,599,2.28579358394286,0.147447933994229,599,0.405437934648467,0.0725709892450643,599
"P008",0.0243017433548113,0.00869525675815463,531,0.0469521355284142,0.0171533382657106,531,0.0244580776840789,0.00968237230219882,531,0.0801318507224639,0.0268097023235323,531,0.230962172424758,0.0662894914326185,531,0.273410628960309,0.0752932050887951,531,0.288518882778612,0.0846390472680267,531,0.300076424352879,0.0805994430239851,531,0.124268268284519,0.0364184364865004,531,0.0611471171864205,0.0187098427641293,531,0.845524979416475,0.0426391007297226,531,0.395667288985099,0.0871971897948843,531,0.648269453028777,0.064186177725508,531,0.567004608917343,0.0737441162228783,531,0.721393645836447,0.0726925212918797,531,0.438537704674777,0.0920659753383035,531,2.04890888022314,0.229468622198847,531,0.520005432432077,0.122220614609862,531
"P009",0.0185646488830417,0.0033869702857378,1109,0.0371108956090512,0.00721530548309249,1109,0.0201381401460284,0.00461857784412278,1109,0.0648375045744591,0.0102149515912401,1109,0.188818216983442,0.0219683790405171,1109,0.223802489096821,0.0258030443248997,1109,0.239156139438166,0.034541262960024,1109,0.247219869389821,0.0270701385385908,1109,0.0928057013443175,0.0106088400643117,1109,0.0439768982769786,0.00684847316494855,1109,0.844333686889011,0.0310517245334725,1109,0.437577388800655,0.0563533491266468,1109,0.686962596584786,0.0472255721560357,1109,0.571803198948231,0.0537570022833216,1109,0.731547151424962,0.0364667353760425,1109,0.393393998698521,0.0554076552446012,1109,2.12610825075925,0.123931829841363,1109,0.447120791388776,0.0555083402166707,1109
"P010",0.0170245347102861,0.0048864392329151,1007,0.0379804846182783,0.011587235721788,1007,0.0187930174460722,0.0057656526452292,1007,0.0695840187209517,0.0187237562492661,1007,0.209197172635717,0.0507407731097029,1007,0.250910549824776,0.0612680526637835,1007,0.26890273098965,0.069615972366062,1007,0.277895977101508,0.0655280234713935,1007,0.0945377412939489,0.0184964174377556,1007,0.0427039977865937,0.00937068102008598,1007,0.867246388103751,0.0327256254762155,1007,0.470932520092782,0.0655713390230437,1007,0.719108250699995,0.0520138107903939,1007,0.586625194396579,0.0606818817699929,1007,0.753075738582234,0.0409324775004088,1007,0.362357878794173,0.0630773681924088,1007,2.22528533842904,0.134947712512234,1007,0.493171793606327,0.106398615568615,1007
