"parameter","value"
"collection","COPERNICUS/S1_GRD"
"start","2019-06-01"
"end","2021-09-30"
"instrument_mode","IW"
"polarisations","VV VH"
"resolution_m","10"
"scenes_matched","673"
"scenes_ascending","323"
"scenes_descending","350"
"scenes_used","673"
"passes_retained","ASCENDING DESCENDING"
"min_scenes_per_pass","5"
"collection_preprocessing","thermal noise removal, radiometric calibration, Range Doppler terrain correction"
"orbit_file","not documented by the Earth Engine catalogue, not asserted"
"border_noise_handling","scene footprint eroded and low-intensity floor masked, applied here"
"border_floor_db","-30"
"border_erode_m","1000"
"terrain_flattening","angular volumetric model, Vollrath et al. 2020"
"dem","COPERNICUS/DEM/GLO30"
"layover_shadow_mask","active layover alpha_r > theta_i, active shadow alpha_r < -(90 - theta_i)"
"temporal_statistics","within orbit pass, level as mean power, dispersion as dB standard deviation"
"inward_buffer_m","20"
"summary_scale_m","20"
"heading_scale_m","1000"
"polygons_in","84"
"polygons_dropped_by_buffer","0"
"polygons_out","84"
"min_retained_frac","0.9517"
"median_retained_frac","1"
"built","2026-08-14"
