"poly_id","VV_gamma0_mean","VV_gamma0_stdDev","VV_gamma0_count","VH_gamma0_mean","VH_gamma0_stdDev","VH_gamma0_count","VV_tsd_mean","VV_tsd_stdDev","VV_tsd_count","VH_tsd_mean","VH_tsd_stdDev","VH_tsd_count","ALL_count","retained_frac"
"P001",-7.50634579938868,1.85611664847033,2860,-13.9424891370422,1.92513768420085,2860,1.97626712119529,0.224809395059652,2860,2.09170874635236,0.207199454743398,2860,2866,0.9979
"P002",-8.02656103420797,2.15529574467874,2745,-14.4966917584947,2.02367661070192,2745,2.00249480747206,0.232979788714297,2745,2.20818670138682,0.260942921680666,2745,2750,0.9982
"P003",-7.18383608635604,1.24099361569372,680,-13.6057425698173,1.19271064827723,680,1.94770484172432,0.123283602129753,680,2.12000321252822,0.156273782489879,680,680,1
"P004",-6.67209065140834,2.39957505017265,2561,-13.2280915988265,2.24430660118914,2561,2.18568799148852,0.465514157767123,2561,2.34138149512895,0.424054595544576,2561,2561,1
"P005",-6.73805811631679,1.61581476711296,5662,-12.9839286106669,1.56312983264291,5662,1.94609204946697,0.116367894198575,5662,2.04148654015878,0.128636664506852,5662,5662,1
"P006",-6.73369635685498,1.42787171406931,1341,-13.1134500941228,1.52808146540516,1341,1.96745910397033,0.146103592106883,1341,2.05815241273911,0.153109062213201,1341,1341,1
"P007",-7.89841811484877,1.74647837089588,599,-14.4344651908798,1.64715606426886,599,2.00613758724361,0.181470565173609,599,2.1996338664267,0.195401870995315,599,599,1
"P008",-9.7640651769712,2.25627070206572,532,-15.9049285206517,2.10273496878832,532,2.14251459666492,0.408281585137651,532,2.34106059180368,0.411674165999325,532,532,1
"P009",-8.72853400128513,1.81248050672622,1109,-14.863343761186,1.68556477321935,1109,2.04699529836364,0.254900616308566,1109,2.29083406654166,0.337795180570287,1109,1109,1
"P010",-7.81436316304698,1.17360924687618,1007,-13.9768280770298,1.08799248264776,1007,1.92243952793079,0.203954467713353,1007,2.01603077741167,0.200863600380338,1007,1007,1
"P011",-7.64914959411008,1.24905216190143,374,-13.6993167805121,1.16872563141117,374,1.93312588258775,0.127890462020722,374,2.02492226531194,0.134241386247975,374,374,1
"P012",-8.06700564269861,1.36601822383082,672,-14.7709729073014,1.34378193080209,672,2.36160642601728,0.415478098381455,672,2.53961104772462,0.418570919602172,672,672,1
"P013",-8.03137607525356,2.02639326981309,1337,-14.1425311796968,1.85197774477621,1337,2.04017684159114,0.43004501679816,1337,2.2061822505133,0.455791899542598,1337,1337,1
"P014",-7.09536821793553,0.869712346480108,1444,-13.2454122805851,0.797533078993357,1444,1.91401717789583,0.155258546689368,1444,2.01240981943421,0.158058524638972,1444,1444,1
"P015",-6.76796096895841,1.10318714164492,12321,-13.2857402435902,1.05499479410714,12321,1.88149434019681,0.13069807314604,12321,1.96166678468341,0.150202705150543,12321,12321,1
"P016",-6.60650688617061,0.94475466644383,368,-12.8455633422903,0.92899994785543,368,1.8718395721208,0.124485290420543,368,1.97034219731856,0.131800531628795,368,368,1
"P017",-6.24755318571151,1.70838866895671,1573,-12.8587187459044,1.58824190357216,1573,2.26153395539789,0.649605939096541,1573,2.35720393572191,0.517728915408533,1573,1573,1
"P018",-7.65535830657742,1.55255051225424,14150,-13.8976911885978,1.51970827592147,14150,2.06604367722462,0.29247252580277,14150,2.24948061223559,0.291648613302796,14150,14174,0.9983
"P019",-8.34291774937165,1.57543236793538,7910,-14.849676727597,1.47480514460578,7910,2.15476054947204,0.213763657204032,7910,2.37044070027574,0.211480194114782,7910,7914,0.9995
"P020",-6.96265795711411,2.29264122044526,4176,-13.3795964998555,2.25909626195331,4176,2.45392240245688,0.61073476496328,4176,2.64888987938085,0.503614236978726,4176,4222,0.9891
"P021",-8.38420489290147,1.38693600540493,2835,-14.8068295057515,1.25754618428278,2835,2.24843470106409,0.301617168728834,2835,2.46622932836061,0.2827895985358,2835,2835,1
"P022",-7.13009059984902,1.36965091567915,4154,-13.4969726913202,1.43241948894551,4154,2.10561289865408,0.286419099776321,4154,2.32235882300057,0.256601444194841,4154,4154,1
"P023",-7.27523313274273,4.21569220273699,322,-13.6520953587549,4.03138619496916,322,2.24373179115363,0.439313777067704,322,2.36207464134923,0.311231377092011,322,322,1
"P024",-7.96142762800052,2.8081600883627,1742,-14.3892990452528,2.7400803173089,1742,2.05657118195944,0.23301108992904,1742,2.2066099882629,0.233955198581833,1742,1742,1
"P025",-7.41321978350028,2.99247018321017,2925,-13.9205692647617,2.97575339623331,2925,2.12594809766303,0.503076158080167,2925,2.32718130513519,0.542122995518546,2925,2941,0.9946
"P026",-3.06582837810405,2.65266510934508,231,-9.76944517628005,2.6840258884158,231,2.12209775751735,0.527912776562042,231,2.36001186576886,0.593188417446978,231,234,0.9872
