"parameter","value"
"source","LidarBC classified point clouds"
"tiles","121"
"tile_points","78,655,669,913"
"canopy_min_h_m","2"
"chm_res_m","1"
"dtm_res_m","1"
"gap_min_area_m2","4"
"target_density_pts_m2","8"
"ground_class","2 (ground); tiles carry no vegetation classes"
"normalisation","TIN terrain from class 2, heights normalised above it"
"chm_algorithm","p2r with 0.15 m subcircle"
"gap_rule","CHM cell below 2 m or empty, in contiguous patches of at least 4 m2"
"inward_buffer_m","20"
"polygons_in","84"
"polygons_out","72"
"polygons_failed","12"
"density_before_min","0.8"
"density_before_median","24.3"
"density_before_max","48.8"
"density_after_median","7.79"
"built","2026-08-15"
