"poly_id","area_ha","n_tiles","lidar_year","dens_raw","dens_used","zq25","zq50","zq75","zq95","zq25_zq95","crr","above_two_thirds","rumple","chm_sd","cv_first","rh10","p_mid","p_under","cover","gap_frac","vci","ztop","n_cells"
"P001",69.16,4,2019,32.2,15.3,15.37,26.32,35.5,43.04,0.357109665427509,0.518063068645596,0.378655396523669,3.61879034948644,12.1748491451938,0.524230857065376,7.22,0.190359050163746,0.0749361083430907,0.942354447686701,0.0205279607968762,0.968691815164031,47.14,693006
"P005",135.22,2,2019,4,2.4,12.88,21.55,30.19,41.9,0.307398568019093,0.419896363748401,0.181657177284876,5.02393348597118,12.5939450049741,0.656409125467754,4.09,0.22714876717982,0.116996986026121,0.871863549370546,0.0748402753331186,0.960129424956567,49.62,267022
"P006",31.94,2,2019,31.3,14.84,8.93,18.54,27.21,40.76,0.219087340529931,0.350666934733226,0.121413111109347,4.3707006062764,14.0518194776623,0.931194545115632,1.96,0.209768828481905,0.250741016122421,0.743567054682069,0.138952278098637,0.927986112663099,50.93,319455
"P007",13.8,4,2019,30.4,14.76,14.06,25.94,35.34,45.68,0.307793345008757,0.462669829196039,0.27020495808614,5.22000889994896,13.7673073671283,0.582010565155756,4.26,0.182660581440129,0.116410250196376,0.92904831161415,0.0232600241869492,0.974131587637316,51.85,138091
"P008",12.28,3,2019,51.3,15.77,10.3,17.58,25.15,37.53,0.274447108979483,0.371951498424185,0.126303325584541,4.3573381207733,10.7118067413683,0.612558479784074,2.94,0.286085775795119,0.159429052114944,0.922555113892648,0.0158769130043375,0.940286549486597,46.23,122190
"P009",26.82,2,2019,36.5,15.46,12.97,21.92,30.89,43.14,0.300649049605934,0.420722950808932,0.188742324857145,5.10362111519494,11.588480971896,0.543704752031532,3.44,0.210666970995118,0.133103327272643,0.947881111683594,0.00418168333252582,0.962199931666091,50.45,268313
"P010",23.61,1,2019,32.7,15.55,7.33,13.61,21.12,34.84,0.210390355912744,0.311838098214194,0.0942743494782895,3.81092162266404,11.0488426483693,0.724739367213958,2.41,0.369941490062283,0.216765141811686,0.912026307072191,0.0157136085859868,0.917941990439016,44.9,236292
"P011",8.68,2,2019,31.5,15.2,4.3,7.64,11.91,18.69,0.230069555912253,0.302508335881762,0.0997723992520783,3.71737004374662,5.74059047606343,0.887329573871343,1.27,0.457534693641487,0.437848885785961,0.71338059969711,0.0737413179446422,0.874304177310903,24.08,86817
"P012",15.67,1,2019,35.4,15.47,21.27,27.23,32.48,39.37,0.540259080518161,0.581780735569124,0.402842638450226,3.41961555904171,12.2158473210398,0.632042281406163,4.99,0.0683534656860877,0.100019052699768,0.777919452403693,0.111142953580049,0.92554461449676,43.81,157023
"P013",32.05,3,2019,33.7,15.22,13.82,24.12,33.43,43.61,0.316899793625315,0.460957281090333,0.265845854959654,5.52506649893689,12.3634468619799,0.554273902468862,3.32,0.184378842354664,0.133065922717728,0.941786944343934,0.00765613207841376,0.970690732804975,49.24,320658
"P014",34.28,3,2019,34.3,15.38,11.29,19.94,28.67,39.15,0.288378033205619,0.426786696877706,0.216883612295296,5.23177520320301,11.5891074467213,0.627716094827129,2.34,0.238841623757947,0.170868414800712,0.896232174293569,0.0205412150952418,0.967811742144836,44.97,342969
"P015",314.08,6,2019,44.7,15.49,15.53,25.49,33.76,43.52,0.356847426470588,0.478913814393839,0.274610485984629,5.02101028918231,12.2646767473796,0.539504618409514,3.89,0.159944823760796,0.118903473564027,0.938895062074174,0.00745980334606627,0.967584317546657,49.35,3139627
"P016",8.58,1,2019,6.3,4.25,12.61,21.23,29.89,41.83,0.301458283528568,0.409452438067826,0.169120301908592,4.86302821134511,12.5977020675223,0.611131366785644,2.29,0.207228693823417,0.161861634641111,0.917776071001877,0.441668560221008,0.952292206179089,50.13,83617
"P018",353.12,2,2025,11.8,5.38,10.12,18.33,28.08,41.01,0.246769080712021,0.384957870088494,0.166625832112322,4.60222299539791,12.6395472249823,0.663261282051154,3.82,0.301713751627864,0.132729469411931,0.916655366225906,0.0287103718650267,0.955640927404146,48.29,1259301
"P019",195.74,2,2019,13.5,4.8,7.74,14.86,21.79,31.09,0.248954647796719,0.376834347321787,0.155947361689063,3.77333904360661,10.4706411495567,0.956495185865145,1.14,0.289723335764259,0.302211215475396,0.682870869906508,0.546681277615044,0.942543415024701,37.56,1281231
"P021",69.27,3,2019,18.5,6.9,8.62,15.64,22.28,31.43,0.274260260897232,0.393677700819018,0.167053693616025,3.75760258634775,10.2369125256726,0.901939686741648,1.17,0.281937406833896,0.281233880020248,0.696139553616269,0.43902922587471,0.946646595110139,37.5,539693
"P023",7.1,1,2019,22.1,12.86,16.41,24.58,32.2,43.25,0.379421965317919,0.470435059367063,0.218547735294544,4.27278746557858,14.0802903151425,0.706655131771494,8.02,0.175789630304102,0.0638635008119804,0.786033718865639,0.146290299873293,0.953069627913877,50.05,71030
"P024",40.93,2,2019,49.1,15.46,11.42,22.19,31.27,43.87,0.26031456576248,0.389601878793967,0.151259407308856,4.93699417999609,15.5579371177921,0.866771741306529,2,0.191831939505695,0.202607779507276,0.757936547145017,0.106980180637107,0.951445796158198,53.87,410104
"P025",69.77,3,2019,21.4,8.89,16.02,26.71,35.07,45.45,0.352475247524752,0.469217413215725,0.256596051626273,5.26853756956003,14.2875565887825,0.71541714258986,2.79,0.136756033268456,0.150610451271495,0.844377116271829,0.0972913875201313,0.96228577683531,52.24,458242
"P026",5.19,1,2019,22.1,11.49,11.48,19.56,28.25,40.82,0.281234688878001,0.396917547015123,0.149455294750045,3.88723162376825,11.1756148678963,0.548232519490193,6.36,0.318350317940744,0.0741971649126704,0.966991300118283,0.0748935360312136,0.949253798966551,48.97,42033
"P027",5,1,2019,40.5,15.82,18.69,22.77,26.08,30.37,0.615409944023708,0.640214248626433,0.549924408330641,2.59452028777486,6.00212798553033,0.285983256057786,13.02,0.113018759762492,0.0244923504136404,0.977793254163615,0.0106251248252447,0.885983351680512,33.11,50070
"P028",8.45,2,2019,28.8,15.82,4.61,8.62,12.62,28.53,0.161584297230985,0.229539771286995,0.0684919965118581,2.44836244563669,8.83816811185653,1.44584964825842,0.89,0.398865514559331,0.475437711665289,0.46086910100363,0.314161590404684,0.83002577770552,38.59,84708
"P029",4.42,1,2019,32.7,15.89,2.89,4.93,15.41,35.5,0.0814084507042254,0.204005253360857,0.097419040741842,3.17755678971943,10.7250465445782,1.81423912671938,0.89,0.13858749854166,0.714545392961579,0.422409632280637,0.270050394341371,0.758969755097837,44.4952000000002,44251
"P030",12.56,2,2019,32.7,15.65,21.35,25.83,29.99,37.51,0.569181551586244,0.572188869642303,0.327563214521538,2.88294152932866,6.51760691887768,0.270101313650301,14.83,0.0668953388337402,0.0353759334448652,0.989778674113145,0.000897758780954802,0.890877755615888,42.88,125869
"P031",5.32,1,2019,14.9,10.26,18.25,23.47,27.71,33.88,0.53866587957497,0.566369074272218,0.384792790235595,2.26325294281734,13.4837956764586,1.47638500045902,2.64,0.09958369890563,0.132721699288353,0.347178448534199,0.485051238682718,0.924963702694915,37.89,40204
"P032",29.98,2,2025,32.2,15.33,8.65,16.95,23.56,31.31,0.276269562440115,0.405623106039901,0.180728178392932,3.71520560062984,10.0783146150943,0.658897205877062,2.69,0.28436245383107,0.189943696931095,0.894000626726937,0.0242170563319214,0.944662865740562,38.28,299830
"P033",27.62,1,2024,32.1,15.58,16.04,20.63,24.67,30.52,0.525557011795544,0.535042719369239,0.293675270213764,2.9384001209389,7.43148961686416,0.418890574949911,9.43,0.175935892176571,0.0523437690694765,0.927629127265016,0.0248159801298367,0.913560919646742,35.86,276193
"P034",150.94,1,2025,1.1,0.55,7.99,15.6,23.22,34.2,0.233625730994152,0.37131724868666,0.152356636543824,2.82404499892119,11.44334926307,2.01398805218299,0.91,0.251978030322205,0.355296261611278,0.250256953047361,0.548274164433018,0.946463567292416,40.77,54843
"P035",22.17,2,2024,35,15.63,8.71,23.83,30.09,35.64,0.244388327721661,0.511451853316771,0.429057176221874,2.55450399927242,13.5903737755318,0.956081989931284,1.56,0.167166966797137,0.237647894870001,0.665144703779702,0.144178999485945,0.951193367937349,38.92,221766
"P039",50.61,4,2023,21.7,14.58,5.78,12.13,27.85,44.65,0.129451287793953,0.302750951238287,0.152542769092561,3.50909493038524,14.6430171166588,1.38119206374297,1.3,0.299316648912506,0.350905372389254,0.567174284580417,0.236892109660007,0.912462422963896,52.79,505745
"P040",20.04,1,2019,6.6,3.01,10.73,15.65,20.71,29.87,0.359223300970874,0.420287240652818,0.158778817037382,2.98508646609575,6.77083803931694,0.400124815244789,4.38,0.37451457088244,0.114062939377868,0.985777271514316,0.149132543989475,0.935492622968005,35.51,48648
"P041",13.73,2,2019,32.1,14.78,11.91,18.35,24.41,32.82,0.362888482632541,0.439982728071075,0.190880673265875,3.61667705941034,10.4780969339146,0.592871088651305,4.24,0.277547368114515,0.113658589532818,0.885225370874273,0.093970703635888,0.945602829707002,39.24,137628
"P042",16,2,2019,51.7,15.36,16.39,27.05,35.65,45.1,0.363414634146341,0.491580951890902,0.303480510161286,4.66688153629813,13.684118803687,0.637643946579549,2.56,0.141745214826809,0.14603463384473,0.857734043632586,0.0367400969079375,0.971001162177732,50.71,160152
"P043",12.31,1,2019,33.7,14.89,12.73,20.91,28.64,38.46,0.330993239729589,0.444317081771578,0.215685364466554,4.15709100568606,11.4308669068744,0.607488609388876,2.97,0.231750392819222,0.137590616423547,0.885729178030716,0.031247970383841,0.963009737664535,44.72,123176
"P045",5.48,2,2023,32.6,14.56,17.95,26.35,32.49,40.49,0.443319338108175,0.520211846343512,0.321149521562513,4.32060212140471,9.34113264627007,0.388934003752589,5.83,0.138168607126133,0.0885512004597505,0.978049945392058,0.00180706397736607,0.956242578240093,45.98,54785
"P047",7.37,1,2023,32.8,14.94,16.34,22.23,27.77,36.59,0.446570101120525,0.485651157315986,0.224706136325476,3.49018067363879,12.0345607019888,0.819530055241315,1.86,0.134446624489017,0.160590216005142,0.682479254713321,0.147597968660891,0.938374475626822,42.74,73646
"P048",32.47,2,2019,6.7,4.61,5.98,11.66,18.5,39.24,0.152395514780836,0.216880267245851,0.0452358195863279,2.93587456627224,13.6746861088409,1.02667747494924,1.86,0.393114067286402,0.2843073085734,0.808175239763841,0.180371352785146,0.845952488610998,60.59,130442
"P049",27.66,1,2019,9.3,4.32,22.91,30.81,37.21,45.69,0.501422630772598,0.549482327400883,0.344771903309674,4.81692579347629,10.7999596744736,0.363152788950027,11.25,0.0846793818890077,0.0543438512057654,0.977239244840695,0.0662723022612346,0.938804870348928,52.07,104810
"P050",9.96,2,2019,62.9,15.68,10.66,22.73,31.43,43.02,0.247791724779172,0.407207119844247,0.182926128418012,4.91440296179757,14.3475735672815,0.7630473136745,2.37,0.183403963358796,0.198114403735126,0.839039010627794,0.0572511050305199,0.95243205034003,51.26,99771
"P051",18.99,2,2019,37.6,15.73,17.24,23.88,28.02,32.78,0.525930445393533,0.588539703412432,0.494805784252423,2.78869500832565,9.38597473911348,0.484009591917127,5.73,0.146144659387826,0.0902232043993993,0.914408902184797,0.0321758371131095,0.937906043378071,35.96,190267
"P052",8.17,1,2023,27.8,15.67,5.97,18.71,28.71,38.99,0.15311618363683,0.371124894675311,0.182328877200672,1.72871780320894,8.5850292565708,3.72799793866264,0.57,0.0705908450336656,0.724622892635315,0.0720553084492614,0.827294094603859,0.916666993369313,46.73,81688
"P053",32.02,2,2019,46.7,15.26,17.1,24.63,31.63,41.05,0.416565164433618,0.48809704772157,0.249410195507129,4.51351766286223,10.8160479411818,0.484324357038494,5.49,0.141227611616695,0.0940446993251782,0.942899811683025,0.00855971344790004,0.953248860803255,47.46,320221
"P054",33.77,1,2019,34,14.89,16.99,27.45,35.5,45.26,0.375386654882899,0.488231115156463,0.285091621196797,5.60657438401808,14.328879061512,0.599473096759024,3.25,0.133503508935289,0.132908643529207,0.905111868012866,0.0193340398699815,0.965036965017792,51.49,337798
"P055",10.02,2,2019,35.4,15.18,8.24,15.42,24.08,34.67,0.23766945486011,0.368051160307569,0.153910126389926,4.62544393895083,11.5356920895916,0.790615014476055,1.75,0.314656002554232,0.229792241667808,0.827860796126754,0.0381751766537586,0.943059470648661,42.24,100196
"P056",28.46,2,2019,26.9,12.46,10.87,17.43,23.6,32.58,0.333640270104359,0.419912017813781,0.173068045185713,3.93588695193211,9.19283102445798,0.625738240658736,2.14,0.278819170675222,0.177484182358014,0.871198964322007,0.12936444892906,0.944159909902575,39.01,279474
"P057",87.41,3,2019,9.7,5.18,7.61,13.45,21.51,30.83,0.246837495945508,0.38015024726743,0.182146406759919,2.91746185593683,10.0433101617018,0.98970774417419,1.21,0.356193311350395,0.268666147460482,0.661914165490535,0.541189280342593,0.944949569598679,36.03,630953
"P058",16.96,2,2019,31.2,15.73,12.38,18.89,25.67,35.01,0.353613253356184,0.440243646725359,0.195233498182874,2.81346575564876,9.78959081492185,0.551075167058239,5.71,0.279761917086752,0.0866456655219152,0.924312606749683,0.0182734533879572,0.950029068259721,41.3,169645
"P059",7.26,2,2019,76.4,15.95,19.89,25.79,31.29,40,0.49725,0.521466346193224,0.256670743012683,3.58957144100695,9.40988960578595,0.446924287951212,9.3,0.0991621638319005,0.064916857948038,0.927908721842992,0.0107772562729688,0.92775147300854,46.67,72653
"P060",20.43,1,2019,35,15.69,10.84,20.81,29.77,40.64,0.266732283464567,0.418557055581234,0.20760784199711,4.04125617526398,12.706957457694,0.728177774169445,2.66,0.227835722249205,0.171090231477393,0.84790355503176,0.0448819244335944,0.962166929564031,47.17,204403
"P061",24.61,2,2019,33,15.4,13.47,20.94,27.75,36.28,0.371278941565601,0.475821910484524,0.258142893466748,3.99557679659458,9.56847330762578,0.478924632709724,4.49,0.221424340385126,0.10878704542477,0.951997978135508,0.00698113590675574,0.960979633611373,41.26,246235
"P062",16.01,1,2019,29.1,14.89,14.64,24.37,31.79,40.89,0.358033749082905,0.47452153115892,0.264354941455531,4.45771548163319,11.2782170113385,0.526926662886138,4.16,0.178923263995736,0.114777876844013,0.949010516752813,0.00607762386122551,0.96090777351104,47.02,160260
"P063",17.79,2,2019,31.9,15.25,13.64,22.34,30.25,41.66,0.327412385981757,0.417109347284191,0.166676669352494,4.8457003870959,12.2850653197974,0.61445842571642,2.37,0.17246788368392,0.163858538666297,0.911383195189735,0.0161600377723318,0.946801596998859,50.46,177908
"P064",4.03,1,2019,31.8,14.79,21.42,28.58,33.74,40.27,0.531909610131612,0.569096786597852,0.417919317902678,4.76967752328613,11.2739748986048,0.522706782721324,3.25,0.0863423559660775,0.118826036128459,0.881832129386946,0.0301932666782445,0.932279977543747,45.43,40307
