doi,year,title,venue,reason,basis,notes
10.1109/tgrs.2008.916480,2008,Fusion of Hyperspectral and LIDAR Remote Sensing Data for Classification of Complex Forest Areas,IEEE Transactions on Geoscience and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2007.10.009,2008,"Nearest neighbor imputation of species-level, plot-scale forest structure attributes from LiDAR data",Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.isprsjprs.2010.08.007,2011,Relevance of airborne lidar and multispectral image data for urban scene classification using Random Forests,ISPRS Journal of Photogrammetry and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/0034-4257(92)90056-p,1992,Estimating structural attributes of Douglas-fir/western hemlock forest stands from Landsat and SPOT imagery,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2014.10.004,2015,Generalizing predictive models of forest inventory attributes using an area-based approach with airborne LiDAR data,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5558/tfc2013-132,2013,A best practices guide for generating forest inventory attributes from airborne laser scanning data using an area-based approach,The Forestry Chronicle,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2007.01.005,2007,The k-MSN method for the prediction of species-specific stand attributes using airborne laser scanning and aerial photographs,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2009.12.004,2010,Prediction of species specific forest inventory attributes using a nonparametric semi-individual tree crown approach based on fused airborne laser scanning and multispectral data,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.isprsjprs.2017.05.010,2017,"Random forest wetland classification using ALOS-2 L-band, RADARSAT-2 C-band, and TerraSAR-X imagery",ISPRS Journal of Photogrammetry and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/07038992.2016.1196582,2016,Imputation of Individual Longleaf Pine (Pinus palustris Mill.) Tree Attributes from Field and LiDAR Data,Canadian Journal of Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2011.11.001,2012,A novel algorithm for land use and land cover classification using RADARSAT-2 polarimetric SAR data,Remote Sensing of Environment,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2010.01.016,2010,"Imputation of single-tree attributes using airborne laser scanning-based height, intensity, and alpha shape metrics",Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2016.10.022,2017,A nationwide forest attribute map of Sweden predicted using airborne laser scanning data and field data from the National Forest Inventory,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.envsoft.2010.12.008,2011,An architectural model of trees to estimate forest structural attributes using terrestrial LiDAR,Environmental Modelling & Software,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/0034-4257(94)00075-x,1995,Land-cover classification and estimation of terrain attributes using synthetic aperture radar,Remote Sensing of Environment,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.foreco.2008.04.025,2008,Multi-source land cover classification for forest fire management based on imaging spectrometry and LiDAR data,Forest Ecology and Management,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5589/m06-015,2006,Object-oriented land cover classification of lidar-derived surfaces,Canadian Journal of Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/36.499786,1996,Classification of multifrequency polarimetric SAR imagery using a dynamic learning neural network,IEEE Transactions on Geoscience and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/36.481896,1996,Knowledge-based land-cover classification using ERS-1/JERS-1 SAR composites,IEEE Transactions on Geoscience and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.isprsjprs.2005.05.002,2005,Airborne laser scanning: Exploratory data analysis indicates potential variables for classification of individual trees or forest stands according to species,ISPRS Journal of Photogrammetry and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2013.10.012,2014,A comparative study of different classification techniques for marine oil spill identification using RADARSAT-1 imagery,Remote Sensing of Environment,off-topic,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2010.01.023,2010,Discrimination of vegetation strata in a multi-layered Mediterranean forest ecosystem using height and intensity information derived from airborne laser scanning,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1641/0006-3568(2004)054[0561:fafris]2.0.co;2,2004,Forest Attributes from Radar Interferometric Structure and Its Fusion with Optical Remote Sensing,BioScience,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5589/m13-038,2013,"Wetland mapping with LiDAR derivatives, SAR polarimetric decompositions, and LiDAR–SAR fusion using a random forest classifier",Canadian Journal of Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2009.07.010,2009,"Distinguishing between live and dead standing tree biomass on the North Rim of Grand Canyon National Park, USA using small-footprint lidar data",Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.isprsjprs.2018.02.002,2018,Important LiDAR metrics for discriminating forest tree species in Central Europe,ISPRS Journal of Photogrammetry and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/3dim.2007.10,2007,Aerial Lidar Data Classification using AdaBoost,Sixth International Conference on 3-D Digital Imaging and Modeling (3DIM 2007),no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/13658816.2018.1431840,2018,Classifying airborne LiDAR point clouds via deep features learned by a multi-scale convolutional neural network,International Journal of Geographical Information Science,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/jstars.2014.2365215,2015,SVM-Based Sea Ice Classification Using Textural Features and Concentration From RADARSAT-2 Dual-Pol ScanSAR Data,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s10342-012-0642-5,2012,Estimation of stem attributes using a combination of terrestrial and airborne laser scanning,European Journal of Forest Research,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5589/m08-075,2009,Sea ice type and open water discrimination using dual co-polarized C-band SAR,Canadian Journal of Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/tgrs.1986.289644,1986,Multipolarization Radar Images for Geologic Mapping and Vegetation Discrimination,IEEE Transactions on Geoscience and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
