stage,query_id,research_question,retrieved,reported_total,truncated,query
search,Q1a,1,914,914,False,"(adelgid | adelgids | ""Adelges piceae"" | ""Adelges tsugae"") + (forest | forests | forestry | tree | trees | conifer | coniferous | woodland | canopy)"
search,Q1b,1,79,79,False,"(adelgid | adelgids | ""Adelges piceae"" | ""Adelges tsugae"") + (""remote sensing"" | satellite | Landsat | Sentinel | lidar | ""laser scanning"" | ""synthetic aperture radar"" | backscatter | hyperspectral | multispectral | ""aerial imagery"" | UAV | ""unmanned aerial"" | spectroscopy | reflectance)"
search,Q2,2,291,291,False,"(forest | forests | forestry | tree | trees | conifer | coniferous | woodland | canopy) + (attribution | attributing | discriminating | discrimination | distinguishing | ""causal agent"" | ""causal agents"" | ""damage agent"" | ""damage agents"" | ""disturbance agent"" | ""disturbance agents"" | ""agent classification"") + (""bark beetle"" | ""bark beetles"" | ""Ips typographus"" | Dendroctonus | ""Dryocoetes confusus"" | defoliation | defoliator | ""insect outbreak"" | ""insect damage"" | ""forest pest"" | ""tree mortality"") + (""remote sensing"" | satellite | Landsat | Sentinel | lidar | ""laser scanning"" | ""synthetic aperture radar"" | backscatter | hyperspectral | multispectral | ""aerial imagery"" | UAV | ""unmanned aerial"" | spectroscopy | reflectance)"
search,Q3a,3,386,386,False,"(forest | forests | forestry | tree | trees | conifer | coniferous | woodland | canopy) + (lidar | ""laser scanning"" | ""canopy structure"" | ""synthetic aperture radar"" | backscatter | ""Sentinel-1"" | interferometry | polarimetry) + (""bark beetle"" | ""bark beetles"" | ""Ips typographus"" | Dendroctonus | ""Dryocoetes confusus"" | defoliation | defoliator | ""insect outbreak"" | ""insect damage"" | ""forest pest"" | ""tree mortality"")"
search,Q3b,3,3629,3629,False,"(forest | forests | forestry | tree | trees | conifer | coniferous | woodland | canopy) + (lidar | ""laser scanning"" | ""canopy structure"" | ""synthetic aperture radar"" | backscatter | ""Sentinel-1"" | interferometry | polarimetry) + (attribution | attributing | discriminating | discrimination | distinguishing | ""causal agent"" | ""causal agents"" | ""damage agent"" | ""damage agents"" | ""disturbance agent"" | ""disturbance agents"" | ""agent classification"")"
search,Q4,4,213,213,False,"(""aerial overview survey"" | ""aerial detection survey"" | ""aerial survey"" | ""sketch mapping"" | ""forest health survey"" | ""insect and disease survey"") + (accuracy | validation | agreement | error | reliability) + (forest | forests | forestry | tree | trees | conifer | coniferous | woodland | canopy)"
chase,Campbell 2023,,120,,False,backward=116;forward=4
chase,Franklin 1995,,13,,False,backward=0;forward=13
chase,Oeser 2017,,160,,False,backward=104;forward=56
chase,Tanase 2018,,122,,False,backward=56;forward=66
chase,Morin-Bernard 2023,,99,,False,backward=93;forward=6
