capture_year,severity,severity_code,host,host_code,area_ha,lidar_tiles,lidar_years,nearest_lidar_year,year_offset,lon,lat,on_vancouver_island
2012,Trace,T,True fir unspecified,B,144.9,19,2016;2017;2025,2016,4,-122.43603,49.25596,False
2007,Light,L,not recorded,,103.0,9,2020;2024,2020,13,-125.56686,50.47972,True
2020,Trace,T,Pacific silver fir,BA,82.6,9,2019;2023,2019,1,-127.74381,50.57475,True
2007,Moderate,M,not recorded,,185.0,8,2019;2024,2019,12,-125.72967,50.3912,True
2020,Trace,T,Pacific silver fir,BA,77.4,8,2019;2024;2025,2019,1,-125.85853,50.23438,True
2019,Trace,T,Pacific silver fir,BA,62.1,7,2019;2023,2019,0,-127.76623,50.78917,True
2007,Light,L,not recorded,,119.0,6,2024,2024,17,-125.46395,50.39737,True
2021,Light,L,Pacific silver fir,BA,54.3,6,2016;2025,2025,4,-122.72595,49.32106,False
2021,Light,L,Pacific silver fir,BA,102.5,6,2019,2019,2,-125.17349,49.15497,True
2020,Trace,T,Pacific silver fir,BA,48.9,6,2019;2023,2019,1,-127.70563,50.57692,True
2020,Trace,T,Pacific silver fir,BA,211.6,5,2019;2025,2019,1,-125.8435,50.21295,True
2021,Trace,T,Pacific silver fir,BA,55.4,5,2019;2023,2019,2,-127.74239,50.56885,True
2007,Light,L,not recorded,,111.0,4,2024,2024,17,-124.94771,50.15938,True
2007,Light,L,not recorded,,84.0,4,2020,2020,13,-124.13155,50.52063,True
2012,Light,L,True fir unspecified,B,5.3,4,2019;2023,2019,7,-124.84777,48.79606,True
2015,Light,L,not recorded,,34.8,4,2018,2018,3,-117.80083,49.20237,False
2019,Light,L,Pacific silver fir,BA,20.4,4,2024,2024,5,-125.65022,50.411,True
2020,Trace,T,Pacific silver fir,BA,113.4,4,2019;2025,2019,1,-125.86975,50.2282,True
2019,Trace,T,Pacific silver fir,BA,39.7,4,2019;2023,2019,0,-127.82992,50.55663,True
2021,Trace,T,Pacific silver fir,BA,50.3,4,2018,2018,3,-122.19551,49.62649,False
2014,Light,L,True fir unspecified,B,50.7,3,2016;2021;2023,2016,2,-122.13761,49.12107,False
2012,Trace,T,True fir unspecified,B,2.9,3,2016;2017;2023,2016,4,-121.81596,49.28532,False
2012,Trace,T,True fir unspecified,B,9.7,3,2016;2017;2023,2016,4,-121.8336,49.28086,False
2020,Trace,T,Pacific silver fir,BA,112.6,3,2019,2019,1,-125.92038,50.24006,True
2019,Trace,T,Pacific silver fir,BA,17.6,3,2019;2023,2019,0,-127.89328,50.56579,True
2019,Trace,T,Pacific silver fir,BA,7.5,3,2019;2023,2019,0,-127.7264,50.55424,True
