"poly_id","block","fold","forced_group","x","y"
"P001",1,1,1,870741.693200954,610947.438851021
"P006",2,5,2,1022281.91401986,485442.328454991
"P007",3,2,3,980230.854674093,489863.100365085
"P008",3,2,4,979892.759341626,491495.933347164
"P009",3,2,5,979068.867864411,494149.423850781
"P010",3,2,6,970046.33384416,497333.233788612
"P011",3,2,7,975619.981426114,499707.718498118
"P012",1,1,8,869562.437834112,607359.543915231
"P013",3,2,9,976737.047262365,504301.442674763
"P014",3,2,10,977228.772697751,504531.490114982
"P015",4,5,11,1086188.61889336,416094.566733265
"P023",5,2,12,1003317.65580317,581280.607464032
"P024",6,3,13,879242.431856479,619413.920943809
"P025",6,3,14,876588.24437793,618954.59869149
"P026",1,1,15,876400.88712024,601431.186896207
"P027",1,1,16,872627.834063414,603364.215843104
"P028",1,1,17,868865.288174661,604365.331969858
"P029",1,1,18,868309.698603813,604772.317145178
"P030",6,3,19,883992.34027936,623230.005004535
"P031",4,5,20,1102214.3807574,422023.561562982
"P032",7,4,21,1020701.38500316,562034.393285915
"P033",7,4,22,1022718.51806723,568358.0020756
"P035",7,4,23,1016774.05360768,570582.029068313
"P039",8,1,24,875637.949727015,643240.085349735
"P041",1,1,25,867507.172924645,605404.942594655
"P042",9,4,26,947882.981139117,611151.494379931
"P043",9,4,27,945897.684390373,611768.817183497
"P045",6,3,28,875185.185307843,616548.261566099
"P047",6,3,29,875482.417068095,617594.263037423
"P050",6,3,13,879089.802817243,618925.925187277
"P051",6,3,19,884243.262396009,622990.33094452
"P052",8,1,30,877288.918744614,642194.503998732
"P053",5,2,31,1009437.75766822,595570.499805197
"P054",5,2,32,1008246.04423178,595912.010769525
"P055",5,2,33,1008956.09756952,595034.668458191
"P056",10,3,34,996279.893362146,600345.959451813
"P058",10,3,35,995531.631682987,602271.109948247
"P059",10,3,36,994800.514053855,602651.804742854
"P060",10,3,37,993672.105412974,603143.453956074
"P061",9,4,38,960754.33241153,606146.843747613
"P062",9,4,39,959902.667853852,607348.54138684
"P063",2,5,2,1021769.64655965,485158.350443274
"P064",9,4,40,931793.907059931,592570.975848572
"P065",6,3,14,876648.567901054,618585.475762347
"P066",6,3,41,873801.156791033,620156.403469582
"P067",4,5,42,1114613.55245252,404198.727799309
"P069",2,5,43,1025247.13284279,485001.23415809
"P070",2,5,2,1021672.1574198,485464.272061605
"P071",9,4,44,958658.726450697,604828.551575005
"P072",9,4,45,959308.780781883,605933.14688163
"P073",9,4,46,958552.147080413,606845.58063105
"P074",9,4,47,960038.427146262,607191.080782016
"P075",1,1,48,866132.890054376,611783.198458613
"P076",1,1,49,865770.925110139,612925.218887025
"P077",1,1,48,866119.379897664,611651.410508097
"P078",3,2,50,996497.740171427,496262.277007029
"P079",3,2,51,991998.190200528,497120.779353987
"P080",4,5,52,1082062.62652724,419473.428186962
"P082",4,5,53,1096448.59164776,405373.887849108
"P083",4,5,54,1088839.781689,425864.703224332
"P084",2,5,55,1060274.36000196,460254.000217259
