"poly_id","reason"
"P002","no returns inside the polygon: the tile index claims coverage the point cloud does not contain"
"P003","no returns inside the polygon: the tile index claims coverage the point cloud does not contain"
"P004","no returns inside the polygon: the tile index claims coverage the point cloud does not contain"
"P017","no returns inside the polygon: the tile index claims coverage the point cloud does not contain"
"P020","no returns inside the polygon: the tile index claims coverage the point cloud does not contain"
"P022","no returns after clipping to the polygon"
"P036","no returns inside the polygon: the tile index claims coverage the point cloud does not contain"
"P037","no returns inside the polygon: the tile index claims coverage the point cloud does not contain"
"P038","no returns inside the polygon: the tile index claims coverage the point cloud does not contain"
"P044","no returns inside the polygon: the tile index claims coverage the point cloud does not contain"
"P046","no returns inside the polygon: the tile index claims coverage the point cloud does not contain"
"P068","no returns inside the polygon: the tile index claims coverage the point cloud does not contain"
