"idx","capture_year","severity","host","area_ha","lon","lat","lidar_tiles","lidar_years","min_offset","region"
1,2013,"L","B",7.4,-121.5587,49.1419,1,"2016",3,"Mainland interior"
2,2013,"L","B",16.6,-121.5304,49.1517,0,"",NA,"Mainland interior"
3,2007,"M","",24,-125.536,50.5667,0,"",NA,"Vancouver Island and coast"
4,2007,"M","",10,-125.0041,50.2294,0,"",NA,"Vancouver Island and coast"
5,2012,"T","B",8.7,-123.1548,49.399,0,"",NA,"Mainland interior"
6,2012,"L","B",19.3,-121.5638,49.2822,1,"2019",7,"Mainland interior"
7,2012,"T","B",38.7,-122.4405,49.2443,2,"2016;2025",4,"Mainland interior"
8,2007,"L","",10,-125.5864,50.4547,1,"2024",17,"Vancouver Island and coast"
9,2007,"L","",119,-125.4654,50.3978,1,"2024",17,"Vancouver Island and coast"
10,1996,"S","",17.9,-123.5443,49.4788,0,"",NA,"Vancouver Island and coast"
11,2007,"L","",15,-124.2079,50.4939,1,"2020",13,"Vancouver Island and coast"
12,2012,"L","B",10.1,-121.1343,49.5453,0,"",NA,"Mainland interior"
13,2012,"L","B",14,-121.1214,49.5285,0,"",NA,"Mainland interior"
14,2012,"L","B",7.8,-125.721,49.6747,0,"",NA,"Vancouver Island and coast"
15,2007,"L","",111,-124.9484,50.1588,1,"2024",17,"Vancouver Island and coast"
16,2007,"L","",103,-125.5661,50.4799,2,"2020;2024",13,"Vancouver Island and coast"
17,2007,"M","",185,-125.7285,50.3926,2,"2019;2024",12,"Vancouver Island and coast"
18,2012,"L","B",6.3,-126.6778,51.2019,0,"",NA,"Mainland interior"
19,2012,"T","B",19.7,-121.7748,49.5576,0,"",NA,"Mainland interior"
20,2012,"L","B",4.4,-121.1628,49.5191,0,"",NA,"Mainland interior"
21,2007,"L","",84,-124.1304,50.5204,1,"2020",13,"Vancouver Island and coast"
22,2012,"L","B",47.8,-127.2189,51.5203,0,"",NA,"Mainland interior"
23,2012,"T","B",2.9,-121.816,49.2853,3,"2016;2017;2023",4,"Mainland interior"
24,2012,"T","B",16.3,-121.8659,49.2696,2,"2016;2017",4,"Mainland interior"
25,2007,"L","",77,-125.5212,50.5374,0,"",NA,"Vancouver Island and coast"
26,2007,"S","",11,-125.5079,50.4137,0,"",NA,"Vancouver Island and coast"
27,2007,"M","",1,-124.9589,50.1359,1,"2023",16,"Vancouver Island and coast"
28,2007,"M","",6,-125.3675,50.4038,1,"2024",17,"Vancouver Island and coast"
29,2012,"L","B",5.3,-124.8478,48.7959,2,"2019;2023",7,"Vancouver Island and coast"
30,2012,"L","B",5.3,-125.5172,49.3957,0,"",NA,"Vancouver Island and coast"
31,2012,"T","B",144.9,-122.434,49.2561,0,"",NA,"Mainland interior"
32,2007,"M","",6,-125.5521,50.4097,1,"2024",17,"Vancouver Island and coast"
33,2007,"S","",18,-125.2949,50.3907,1,"2023",16,"Vancouver Island and coast"
