"agent","polygons"
"Western Balsam Bark Beetle",875
"Mountain Pine Beetle",681
"Western Spruce Budworm",289
"Drought - Foliage Loss/Damage",276
"Code IDL",180
"Yellow cedar (Yc) Decline",158
"Fire",157
"White Pine Blister Rust",150
"Windthrow",124
"Balsam Woolly Adelgid",104
"Douglas-fir Beetle",92
"Flooding",80
"Slide",78
"Post-burn Mortality",50
"Spruce Beetle",50
"Drought - Mortality",42
"Code IDS",39
"Defoliators",24
"Bear",23
"Laminated Root Rot",21
"Drought",12
"Code DRA",10
"Foliage Diseases",8
"Code D",7
"Aspen-Poplar Twig Blight",3
"Windthrow - Treatment or Harvest-related",3
"Code DFW",1
"Code DR",1
"Code IDT",1
"Code NY",1
"Forest Tent Caterpillar",1
"Other Mechanical Damage (non-logging)",1
